node,x,y,d_F1,d_unconstrained,d_unconstrained_minus_F1,d_F3_minus_F1
58,0.21250000000000002,-0.5,0.011185901150315881,0.011186370418449339,4.6926813345761487e-07,0.00011229086717526142
59,0.22499999999999998,-0.5,0.011359381464645046,0.011357964640795918,-1.416823849128418e-06,0.00010198051112805806
60,0.23750000000000004,-0.5,0.011467953335878899,0.01151151316883567,4.355983295677157e-05,0.00014117034757905704
61,0.25,-0.5,0.011641593106650343,0.011640771488809912,-8.216178404314017e-07,0.00010157052237444106
62,0.26249999999999996,-0.5,0.01176304074074554,0.011765298563511642,2.2578227661020772e-06,0.00010179663758042717
63,0.275,-0.5,0.011858216063321523,0.011878826271594032,2.061020827250938e-05,0.00011819169513796295
64,0.2875,-0.5,0.011993775191788628,0.01198362557341233,-1.0149618376299047e-05,8.619603671704279e-05
65,0.30000000000000004,-0.5,0.012080066646862862,0.012084114030601124,4.047383738261731e-06,9.71195735286045e-05
66,0.3125,-0.5,0.012166446655128331,0.012182050718903187,1.5604063774855848e-05,0.00010400441028093378
67,0.32499999999999996,-0.5,0.012297318076277909,0.012277003692344891,-2.0314383933017766e-05,6.490340534724692e-05
68,0.3375,-0.5,0.012368672818457365,0.012369309787698055,6.369692406894834e-07,8.576087675745206e-05
69,0.35,-0.5,0.01245912940384725,0.012466146097428911,7.016693581661168e-06,9.048105535152187e-05
70,0.36250000000000004,-0.5,0.012612702346740333,0.012566560056191403,-4.614229054892942e-05,3.7756499495366844e-05
71,0.375,-0.5,0.012686000751439773,0.012680616991468312,-5.383759971460192e-06,7.31957930364454e-05
72,0.38749999999999996,-0.5,0.012803783564582095,0.012804470140012868,6.865754307722183e-07,7.467503761415285e-05
73,0.4,-0.5,0.012869106182987217,0.012937637401237389,6.853121825017155e-05,0.0001420792714524003
74,0.4125,-0.5,0.013098879794355258,0.013087226350229679,-1.1653444125578685e-05,6.12128639399228e-05
75,0.42500000000000004,-0.5,0.013268721448169145,0.013257286414386414,-1.1435033782730697e-05,5.871842714654657e-05
76,0.4375,-0.5,0.01338610727047593,0.013432970370495552,4.686310001962221e-05,0.00012948570268713454
77,0.44999999999999996,-0.5,0.013646570251555495,0.013639900925369972,-6.6693261855238495e-06,7.891482847550632e-05
78,0.4625,-0.5,0.0138310971335053,0.01385724588920678,2.6148755701480703e-05,0.00012244959853611494
79,0.475,-0.5,0.013986822471510379,0.014035767086787715,4.894461527733644e-05,0.00020065551211120684
80,0.48750000000000004,-0.5,0.014026933799149991,0.014129893353861563,0.0001029595547115715,0.0003687680470058595
81,0.5,-0.5,0.014093512957812915,0.014163827083649095,7.031412583618016e-05,0.0004044646095933517
82,-0.5,-0.4875,0.0003323850605070059,0.00036810949649645277,3.5724435989446855e-05,0.00010234968449716772
83,-0.4875,-0.4875,0.0003189621188236828,0.00035113054563923394,3.216842681555112e-05,8.791505474319618e-05
84,-0.475,-0.4875,0.00031979312832869323,0.00032305543086069683,3.262302532003596e-06,3.2680547664408824e-05
85,-0.4625,-0.4875,0.0002841910317917291,0.00028060272162597753,-3.5883101657515964e-06,9.382794896164298e-06
86,-0.45,-0.4875,0.00020803561243074874,0.00022377379776362176,1.5738185332873022e-05,2.2168538086956674e-05
